GUID,Val1+Val2,IsDuplicateGuid (Y or N),Is Val3 length greater than the average length of Val3 (Y or N)
BD63YN9ZNV947D3SLGHZDZD8WBCMY0S1,1551761,N,N
A2T2RVZMHBQAWF09YZAI6AWHYLQXSSX0,1526263,N,Y
R6P815ZMW4G8AYX5QP0JGN12Q95ZLRNY,1300416,N,Y
064V9SJGSSID4CPTAH1M0P8MA833R71N,867488,N,Y
NEEAR9RFAV1SDGWNL78QLXI1UYVH3RQ4,1647217,N,N
CQ206ZYBTMHU5K4U2V8FGS38M5W8K53K,531141,N,N
FS1GY71ZIDDRJUUXZLWD5BA0U3N34GHJ,894133,N,N
TFHZP0CX7W26KY8CC2O6AZV9EP6X9BYZ,1567242,N,N
R9N7QSZENOLQ7FY69QWPLNCJSGWQTOM5,749045,N,N
Z55W59DB6QICLOJY43S8MTI5PP0TW57M,508363,N,Y
QSFKCEN6Z1NJ6KZCJM1918Y8FZC82AT3,1381487,N,Y
AGP2RYIZ10JMYTH9SP6I6KAEPCS24NYC,1003250,N,Y
N91CBDYZ0CBVUZAF4RRMV2R36OPK96A8,870683,N,N
K7MY211P9G2U4SWEHIG528F59IX7VOK6,921897,N,N
C3SP9K9TEUSDEYWEJ09N4VIG2A45OESB,1405837,N,Y
ODB7R2WGQT4KBR0A5W3DVNW51ZPDKWVQ,1194925,N,Y
FU3PYU1PXSMXEA617A32AMFR0BKNM4HF,681019,N,N
TORJSKE7UXROBAPAR7UKMA5JRWPHFL6O,1413620,N,Y
WUQ9Y3BZMJQ73C1RF96WC7GM8UYX58L5,1176873,N,Y
7TCCO5EXG7S7O4GPMD6LSP5KNH26WMSH,1538900,N,Y
FZ42O9AIDUEXR9HREEAKLFSRSDDLAOJK,1390297,N,Y
2H8VH1MB09JOH2GMM9JVPU5ORBJ5D8OE,488406,N,N
AE1EZFTTCTXNC6KQIZCJ0A4YVWEK28XI,1081350,N,Y
QTV69S1IVEMO048HKL74Z9NX7UMPCD0D,274565,N,N
V2EP2K30AZUN80A6X9HJQGWDTM32MDJR,1487544,N,N
NWS9O09O9TD4QY4UC3SC5ML4M2FX81KG,1379306,N,N
44UVS8Z2FGOC7A9X7YVG7L31CP4DCTPZ,1716201,N,N
3FNPTOKEPS8SSQ3WBS5U8LMVS1J4O5Y6,1556732,N,N
Y2QNMKEQ9QLEBJXE2ONWWPEIIS3U5LAD,492616,N,N
43STIGYW6SQ0UQE0438SK2916ZZUVTQ6,872581,N,Y
SCBTFY891K0AL6Y2YJQCGSNIIZEYV6M6,379616,N,Y
KJQXUA17G2F1Q231DCUO6ZS6NWC5S5SA,791237,N,N
782XFISZ76Q9AT41MTUTL8FIYFRIPDON,1081560,N,Y
N3PLIECODKJAHG2Z55ELEPQIIN77QUO2,1023834,N,Y
WFTOL03AY1LYM3DE5MW2911GH5EJHZ6F,723395,N,Y
IFB5SWLQTSEPTSGJ9E44RMG6G7T5UAXS,902662,N,N
42RRT6ONA0VU3ZW0LA50KQJFO91OM4AI,876738,N,Y
YYKNS8HOZN85DJG6NEGQZ55RU81RVOVL,1168619,N,Y
2JB17OO6FGU9GU5NDDRXQNBG2KTJ9HAX,108188,N,Y
BIOTPSD7WZRXA9RFW84VG7T6JS4O6CE5,510124,N,N
57Y91ICI6LNUS7GNG3BG2BFQVK528YOQ,474395,N,Y
N9DTGJI6RB38ERHIYOW2NLYAHC83VMEE,922099,N,N
BEGS0S5AILU3H9723HHV83C2R9L815UJ,1764385,N,Y
RWI9I5AY8V1E93L57R252ICEF8CYKR18,1444515,N,N
0T5GIRU36FJZ0MYUQ1CEQ4ZBCJ9YX3ZJ,523471,N,Y
EFHSAFWOZDQP5PMKKX3YS57FO87ZQC0J,152678,N,N
QDBIK1689D2XJFUFZTCZGDC2H2OIZ1IF,1327229,N,Y
R6CKHEEUC212W002FQN68NUMH8RP9V7E,775575,N,Y
AXHI81PDPIPXWLUA8KFJ18ZXUD26DL99,1189188,N,Y
4BYKFM0VWZVZ195QAK2F2H85N6BK9U7N,177548,N,N
7W2GJ7DFTHMXBXGGIE5AMATC08GY2GB0,970450,N,N
TY61JGIJ3U0ZIAUL5EH5RDPHTAWKX8S6,1033636,N,N
TM9I62JOHAN2S1YBNF9B5GS0OFWZAJPW,414892,N,N
AZW3MLFGYOB7KTRTI0BYBNOESL2UDLLT,1027083,N,Y
A799SKJB7L782E29ZFDC5L2TSR30P7JL,681963,N,N
DPVQ0RL3YK58KI37GD1PR66R2KZJK9QF,756889,N,Y
9YT9V6T5ACTESXHIMEKZX40YAX2UE8VS,552613,N,N
XYUBT7W3F797SH78XS4OS8CSKU88C1N6,1147950,N,N
DZIUZ2BFQGS7DDB240XJJYWJTK7YGPDI,1880598,N,N
AQ06E5HHUD6K3SQIK7IN30ZEH508VXJ8,519952,N,N
GL9FI3R1U77B5B1PH1LMDJ6J70F3APL4,1375381,N,Y
EN5HWA7KKM91ZKI6G5WV8QIOFUBETYS6,613881,N,Y
148SL7RT08DK612S6K8CSP31LHLUU4XG,900221,N,Y
MMT2U2N53QQQDHCC14X3443TS45HKT6A,693149,N,N
ZTKSM8AXBN0C120OP7ADYX9QUTT7Q5WS,1087949,N,N
HGSTZRXOTM8BKIDIXSMB688Z0XAKJKCL,1399618,N,N
7YZ7XXUYZT8CJWPTR0KJRBMEQNG0PFGR,1500309,N,N
VGGC7UKRJ4U676O2J129OF0NJENP401C,489654,N,N
2431QB1SFR7IAQ3GRGAG7PPQ8HMZRJ2D,1321785,N,N
3KPSZW24J4O62ULAFC7BZPXSJH4Y5PKX,871975,N,N
HQZNIMIFV05DUHFJWDOUZXOIZJZ0BJ3C,1012986,N,N
QE6354E9VTHBANK63EKFBU5KQ8IBMCCT,672127,N,N
SDMY4VARCMR71DV1Q77SQPK4INV9QE82,1550956,N,Y
YI24TQZRAKUT274W6DMAAFKYQ6FU49ZR,1510044,N,N
X0T4HPMYWMRP5A8DM6RZV8CJ2AE61KBT,1568346,N,N
BJPPHE70QTQOZ0OOAOY7CZWE55IL7SNE,1160965,N,Y
7548OUI8H54EPWGNIS2LPY864ISKD1DZ,932181,N,Y
QRH3JGH89WAG01PK2LRANKFZHFHDEBZH,1428890,N,N
8BUUW1Z6EMG9BTR7R1JQMNYMC7N1EHJ1,115427,N,N
IL93UV8OXTDTEHH09FECVL1AO7G4B0MO,900552,N,N
SVG6IZ70B7YP898SI9WRE2MNEHKUEMIL,884696,N,N
5JOSKH45T27PSYG34V2NRTC4IET2EI5Q,1270545,N,N
ZO2865POBFGVMZYWFYVJQK0RBFAIFOL9,625983,N,Y
BD6WYOUUI4SG2KY2N1RIF75KT8ZFVXRC,1514675,N,N
U51K30C4A0219NRSZ72BYCB82RNW8359,1101956,N,Y
47PTW179CF0J7WRAU3XGKTMM51MFYQ9U,823024,N,Y
IJKEQURGQL2JPINQT26NNTSNGEIUCVHW,608444,N,N
PDOAI80S1KQSN3CBEV7MCLPUKMYW13F9,1467482,N,Y
HX1OU0E7QUXYAN6B8VANO9M0AZXIT3J9,1394158,N,N
1XBPV45U651HMENGCJFW6TMEWX12XWXR,676494,N,Y
JECR0XGMDIEWWG3LHQVJXEXRLS5OD9GX,1131064,N,N
9I5VPGRCQLB261HMCFGDLXSCX1NEONO3,1122038,N,N
9FXYHUEV4HKX97ZIJQIJ03Z9H20NHZR1,948843,N,N
ECD0PJL61D78RGDSU4VNBOSQ4DU54UB5,1505580,N,N
PFSYUAAM7OUWEXNQ5ZD4ZAKQM5NTIS1C,1359249,N,N
PUKE80OLW6LMP028FLCAMKH2PY3ZKDQ1,920726,N,N
5HNEMA7699GSX4CDRJVT9X33N6MLX616,1359149,N,N
27DBOO0FEARVOIFS1WLLPLPHCPZDNVMJ,835013,N,N
NM7VWD2E8I235HPLHWOA33E6DG6S6D23,1026654,N,N
PHTKLZD2PRLBQWPTKV140AMG19MLCPQY,1122199,N,N
ABMP3PWLHKZZO6061UUJ0CRSEK34SSIC,987450,N,N
HA4XHJX8RMTQ4WKTQPU1UB9OH8B22FNO,1145087,N,N
XPUXBX9ZLZOIOKD94SHUNYLMPMZ3JPZK,1328468,N,N
MIPA9Y5WXU0QQX2AS2R7JMW795KQQNMM,806159,N,N
S44ZL9B1NRNXZUEU13CTCXOC0VGPGQ64,1052726,N,Y
GMPGHBOASB79QPVDR809SDOQQDLMOWXW,1616481,N,Y
PVFDTCIHEOBJZ8TOMY2CNMJY0A9BBU9N,1787070,N,Y
OP8KDYQ0M6THPZWYU6Z2LWGUHDGM42CX,1311736,N,Y
HX4KE79DTGL7KX8RP6NCF7GW49STFYOL,1364315,N,Y
5VAQUMFHFIJO22M314C2I77108C0GCOY,635315,N,N
5WQDKI3FCCFY9BFQIVVZA9SCMV9YOU58,1575474,N,N
ZPZJ49603OFOTO1BT2AVLQ6P8UWM8W34,1171532,N,N
P5N68W8K98SSA45GDF37SF4G7AU0B3UA,1485218,N,Y
W07M8DEBZDHVOUTQME8N1AXPFQYGN8JK,242587,N,N
AJDQ8VZ4DF7337SL4DU3HK7G94Z3K4GP,1265876,N,N
L4LIBK5ZWRFEG7D4HH1TDALWBYJH29FO,1549955,N,N
GVX9KBICVM2Y05O9WPJKW1GJ0RF7A2OU,738673,N,Y
6LT0O8I0GSPEM7RTF2BAN9ZY6TM8W5OP,1085932,N,N
FTL6UH045SYOIFZ15JP86ULJMP271E5C,1400779,N,Y
ORD5QSSZSL4BOJ8ILDED5UHT3GGVUYZC,563937,N,Y
K23MLKI8MDY6KL1IQ82FD3SM03H1M5EL,871102,N,Y
AVO072FCDAI55KCM7X5TPA1QK4A31ZL4,1324640,N,N
AMP08IVV0IKGWPNUXT2FAJ0DWI6AWWZ1,1233712,N,N
UMN6V1RD7U77VPRHAIMZMYTNLXIC0R3C,1370854,N,N
QDK1OFMCI75XWSFDDOXQALTNWV4VBYJQ,605904,N,Y
GZXZT6SKTHC5XT472XCK3H7H1PIMMNXE,940921,N,N
U8CC7XPTKRMZ5VZV1E64NJAEQKSXC7DH,1382079,N,N
CC4M97ZCFAMW1ZSSBO5AJ7ZBJMWFFOO7,889386,N,N
G338OGOQ8Z70J9U4I7VMPTCULZ6N8FOA,1554829,N,Y
47V8Y54TQMRRMUXWKY5R1O9GMM8G6AHO,132145,N,N
1LTQTFE88T57YH9SKEUHMNRDOGCT0D43,416087,N,N
581JZ6ZVIA0H1I74R4G7DQXOCUK7608R,1455291,N,Y
11QMX62U8UURTWS03TY4IRO7D95E2EDR,817775,N,Y
STDQI12VRXOR2HJ96H2DZIOU6AD2BRVE,642971,N,N
B3PBW76SV2RQUPLXMJ08Q4H7NAK2VLL7,1391617,N,N
MT48ZRS3OZTE9H008HSB65A4DXYR8HXI,1035307,N,N
JULZWDL1UEWYMB8ZT0S2JHXY0BJ982AO,1563071,N,Y
LL141SY3K4PHYTYKYWEIOFUWBN3T6HU6,1182934,N,Y
QEOYBXOBCTZ7EF4SIBYDSHVDS3V8GO6U,1135282,N,N
IHME34WBD6JHDZ47NNYIYBGZ3H85RZ7A,898576,N,Y
K6H1NAU4SBSIDWNGV6CXS0UYTF2EZ9TG,1272789,N,N
2P4TVAMYYG6D5JZP4902XGUNW4VTCJYU,1213804,N,Y
YJNVUHG2Y7GETCUPDE79TKCGU9CA9WT4,955823,N,N
N2691CE6P86EDLN4EHRX5WZG4NOQT1XK,1173528,N,Y
AYEYIVGLNSRIXU92CG5NVS7TV576B3NW,1107062,N,N
2YNFPOEYDDK3AD3L581N01NINYJUEEG3,232973,N,Y
Q963RWOCA45O82ETLYD3W4F9BS326FB0,756574,N,N
O6G3YB0I9CJMMQDL7BXF7G1Y578TU7FD,1582036,N,N
SSFX89JNKWZ9V33JF21YYN2YLIY18XUG,428994,N,N
SGN3UQEFPMMW3VHCFM1NAVVVKPKL1HEY,861159,N,Y
3AEE3BNMCBS2CAG45RDALLZYG0XINXAU,1109289,N,N
WTKX2MTJK2ZZ7RDL6UP7APE39STAUY17,785153,N,Y
BE5EOCFADAXQE9LMU46ME6ZSGKNRHHHG,774976,N,N
13Q1AM1M38NZTFT1CUTC0I3TIE0AQPO5,619568,N,N
R7UPO451DZPB7UFWS0LX6MLMZRKLS19P,882882,N,N
XYGGPSPC8KBEXKNSQABY0IC6XBH3PF2U,894902,N,N
JDUCFL7UO566JLEULBQZ7A9S34OU60UX,899898,N,N
SWVK5T4ENCGYNQGOOT1NACWHMAVITXMF,1083432,N,N
606A4AD5TLZSPN0SFL78PVF17XKUY7NX,1088849,N,N
V0HBO9W9FHWLUEXGOZS9P3DTJVQMZNZ5,600678,N,Y
NTHBGFK51VLIOGC7FM6CBIF75BHMMZLS,1254022,N,Y
MM05ZFOKJW784L7ZQRA8Z3TDU58HHKNA,950712,N,N
IMBFQ69PXN1O993C2VCGEX7K6TYZWU0B,909797,N,N
U2R1VZAMEH4UZELKGPJ8FF76BRBI6598,1139597,N,Y
GW3G2GMNVDN7L8EY1TEPG35Q6FFFQF27,733424,N,Y
RHQYM4Q8AZ9M2A2D5KBKX3AT3M68B6IR,597000,N,Y
9VSGG9P0ANNXYB8P883PJLVYRWXNV2SV,1230168,N,Y
QHF0LWR4DLRTX2MH3YOK2NHEOHPDS2BW,1068387,N,N
DQYDV43VI8NQ1CU0STCBZPHREM6BE3O4,1101432,N,N
A5BJ3T28UMXQ19BX3FOJWPA9SAKNEEIV,641088,N,N
869MOU21JFJ9T4YB21F2T958DX5GJHE5,1091622,N,N
1B7L9QAGNLBDWWLJLPTCV1VT773TKLWA,1062082,N,N
C987Z3A0K20WJ2ZCL24ITUPLRQLMFZRR,365311,N,N
AZIYV9DZ4HFLLLPRRKASNPJU1ZDWXGCD,1479737,N,N
AP0O0C7ME1MSN3BLXQ97QJOVTI0B54DF,1235093,N,Y
OFBCUPTURB9RFXAH5RNQWSVETMYDZ6TB,87222,N,N
MCCRDV0XO5WDPP9AEOBFC1UST589XJQM,1068268,N,Y
W54PW7GGAQS4ULE431EVALF26RAIY0CY,1072518,N,N
LXE7EQBJZ55629A2LR0RH1GJWVZST7Q8,970168,N,N
XQITDCQJEEMGTI83K359FEE48YDCEPX7,698872,N,N
3THQO8WFDQY717PQYGGTRBSFYB6UV6Q2,194586,N,Y
9BBAY1GDEMRAI9V0O4OOHF1J2BI4ZFIK,696135,N,N
MS70K4SM5T8SF3Y3I0DQ7JQ8IUD7P32H,857274,N,Y
5ZQCAS0GWKD5AIHNWNJXYZH23WFUPPQ1,1569834,N,N
RGS9G11KPK3KRY85HOBINQVOZ6WD2UOC,1044985,N,N
H7UKU6D0JRM7DL8VYVG6CUFUJ55TU44X,939649,N,N
LQ6HPHYKJ9FNWMX9S83P7PIWP4K9852A,1085050,N,Y
BPQ3RD9Y2164HPPERK5N87HA2T6WFXG7,923690,N,N
C8F7WLPZXSNC0A8V6SKG03MDMYQA4TXK,564615,N,N
62DOPROOMQYGWVOLOR306P9UU1L8XPS8,947496,N,N
IZ4XE4LS9M1N57UI7K06CSLN719YHC3G,1047503,N,N
ETOK6SW280E1YK55QOJ3Y7ZHO3ZQ5OY1,720225,N,Y
BOARILRFE0ZAW7FJYGZLW8E9BFRZMCZ0,247472,N,N
9IYQKDTTF7QJKH6RWW0UFKNCH227JFV3,1041747,N,Y
4P0N35TSEM6YH3QIDF3OF9031BJZW42L,1169871,N,N
G4EXMZYF764X54YG72MUTIGBHX55WJZL,658672,N,Y
LSRLPY6F682R4JRLH8Y30VY9OOUR9PFP,1467780,N,Y
T3NJ58XYA8LTDUIWGLFQA7ITEOZ258MW,1422331,N,N
CU4HRZ5M550LJ3M8L4TBGEWOT0PN33TC,1569587,N,Y
MMY43FG12RE1ABXWRGT3ZU2QKPX2L7R6,899712,N,N
QQ6OPE68Z4YEWSIA60FQ67ZDWHXGQ82J,1133984,N,N
U7XA61B05CKYMEKY41SOZJAC3GFUA3XL,1021260,N,Y
8S64FSKS6C0IFXR2V0GLDCP2BHB8S3JX,1571655,N,Y
ZP5LKQ5AXP4DGLG5A6O9BLKJJ3YQK1H4,1616126,N,Y
RB8W1IBZFX4M4YYRQBMDP2T773PLY3GF,1403688,N,N
AE87POU2JX5ZZ2FTGSS9421NHSUAKGKO,1160589,N,N
NXEJDD2F1CA2ELZX1QFOTMD48YVWEWO7,1587173,N,Y
5XSPHS8379TI26LWOMX0G6YPF1F9H50V,467402,N,N
3ZKT7K9PYBP50VZ9AMVY1ACGBXT02KYC,1124535,N,N
VELF15R92F0830NOALVIWYJ8UBC6NROE,655266,N,N
B2BNWZQYCMR7DHKL9KCB37MTPN67PBKS,685066,N,Y
GJT3Y2HG40DD47MNZNU38WA5CIUIP3DX,243268,N,Y
FNNJ4R6OQ3ZQ3V07RRC7310R6CFHG7JV,1883404,N,N
NTRNGM7XBKBIGRMUDLM9BRWC1W4074A6,1137676,N,N
7MSV4WQJXDT9HZDVWXPAD7NZGPIGZ1I3,810526,N,Y
B0QZA8WNKNBKJJZXP4D13VNV3X2MSC76,1313126,N,N
VHTKRFZUPR7EUTBIJQ4ULRFBCYTDCWP3,1204924,N,N
FLYJ2ZX6HKFJMYORWX2KK5UHWKKIBF3U,653474,N,Y
A8COTPX76G53QYYE9HXHMNX42H0ZRXWJ,1411246,N,N
X9DXJHUYM2B66PWK1FV0G6U7SPC059C6,452226,N,N
X696DGZ4KK1LFYVA4CJMKUJ4H60M12C1,1056633,N,N
K3XKRF1JO18P5PIGKTSYVGUZ6GQNYWF6,1203444,N,N
BLCRZ26FCSMYZPO3371ZIP0ZLC4Q078G,1466710,N,N
SSRUKOTC2FRUNR2SGBQB74U8MEJ9XAMK,714782,N,Y
BZP1K9VKOKVAZFH6OMC18B9C25P9TUEW,1745873,N,Y
N93RTFXYDWRMZOU66I8JGPQSXX8JYGCI,1012617,N,N
DTKQ55L537T924C4CYTLDYEWJUXVFM0D,1227205,N,Y
ONTI072EJHTPTMD8SP3R7PW0J8ZNV9KY,1198824,N,N
Z4F6M484Q8SFUHPH1SG8YNU2G9YS6EPP,807174,N,Y
6XFBKION1IMG3QYOMVJNIB484CYQ0RY8,549730,N,N
K9LNOJNYG3WPFKQV1EWKN9IPAH2NH0Z0,590562,N,Y
1MWYHB5LLT9HD2Q0GPWN88EWM02U9TIB,664865,N,N
NR10MSJCVDFS3G06NKVPT2MD32ZI4WUW,1162920,N,N
0OPPUE4A8BDPD66LEAHB8FCNGRNJUDW9,548490,N,N
I3JY7JZEOQYF97J514WXW32B4FJ32EX0,603928,N,Y
SII0FBH5HCBGK88BBJ07ZJ6ZRLQC7GIK,1591335,N,N
5D8770IPJ1KBC8ZO3O2XPKLDFNDSXRTC,392450,N,N
CPOFCJPKB2NMRGGDA680Z560ETPU9FV2,304707,N,N
65DOWHPNQF5PSQFZ9B1FCTWD6XRT0RLP,1635192,N,Y
QSA0QWB6U1Q38ETU2IX6VAUVJZAF2G31,595629,N,N
WSS9RV48SMN7MYBIHI7LJO3EZH8YFKC4,1277463,N,Y
ZWMRTSIW9XYHC14S7HSRU07UTCL7D8QA,735122,N,Y
BBJW3B2KSTGBIK5MKV8X83OZM4ODPJDC,685510,N,Y
J4B96DI2HJ02M8MSX6YS1HLUZEULI56E,325286,N,N
3ETVWS67PL7XKO3MY35V7CNCB4FP92QX,1463993,N,N
10J01PIXMPW7R5E98L1N5M31IPCBMRDC,1026463,N,N
MCLEED4BQHEIFN5LHVHJEBFBDAH0L8UO,410102,N,N
59894XFUE3KWHIWTFBHZRKC12KEATIE0,123486,N,Y
QO24VX1FN6DSKB37C1DDD0CEMKKAGSK9,796000,N,N
TLESHMIREC1EP4ABICPUL7TCR1C9GBY5,763590,N,N
OH61HVHQLMTU6ON4Y8WEG1B7BWQDEIKO,757497,N,Y
0TTVC4Z8PEYX6T1AN2OSTGSE2SNZ3B8L,1163768,N,N
4PKDEJST0SFR2MF6TNEM2JEUALP8XRQO,884125,N,N
K9E2HADSYJD0E9D8EQL41ZCCJV10675T,1757264,N,Y
RATGYJRIJ61SR0KAFCO48JTEKUTSA8O5,348739,N,Y
ZDPLX27ESJKC67X6UHW90MKPOD4JDY69,1178880,N,N
NM0A98G0PLO6ZPRUSQLKJY6UDS819FXS,827844,N,N
EJ1APEPNZPN45QKQBUJ4FA8S2UEKAQ39,707165,N,N
JQ21XKKFEQZHA8UD2RH3EZINQBTDD6LF,570876,N,N
FV36ALMTBO6ED3LEX5O460YG6X2UJK6F,1084309,N,Y
UOL1WM6KIEF6BQ68A432MQF3ZPDVL07U,1206261,N,N
ZOT6RG137YMWGKCOID13A74EEWAOY18H,1580726,N,Y
EJ82MD94Z3FGZJ530EV01UR8VN7T0E14,229084,N,Y
HEQE5VC4KDPS8PTZUUYMCIJIL1HVRGXD,747912,N,Y
NOO9JPVUEDM9S4SBXCCMA4SN5X8P5GHW,701892,N,Y
OJEWG2IL32NI2JC25L7WHIQR9KVTSL32,989762,N,N
MEKJO5CCX44VWPM4IABSOVFBAGFECPCY,500518,N,Y
OF8539O6RTWA012EWAISHAOC8V906LAD,1180379,N,Y
L0MF7RI4L7DS55W2UBTB1NBDM9P4FYI9,1206990,N,Y
OYQWVL57CMNGYVVGYHB2TEA2J6MRALF0,1535395,N,Y
I6MRNLI5H3NN7A6PLLE3KFXYOS1S0HVB,906811,N,Y
HRJ2AONE3VCPPQ56551ND2ARUIPDHAU8,667843,N,Y
HWW5PCFCH9RP13FMDWH8FXCTQI7KD4OW,1810245,N,N
KVE722HNJ6FC07LNJXJFNRLHSD19V4S5,322091,N,Y
ZTH3BERV83TJTK12JQNE11HEPFH48N9Y,490566,N,N
WPYGH48FSQKWXPPWCMGU9A65WGGAE9RE,680174,N,Y
2U3XZ5IRZH7WX1Y15NOHS4X1U7FJGBUG,1153786,N,N
LTHYRXT6X7YOGRXG1QJFMU0K09Q6TH2I,966621,N,Y
XNRSBUB3SXDPNMEG4YFSNUPX5JU4S5LV,978926,N,N
SKV54UBFBI08CJHSA8AP3FKDPNAY85O6,499572,N,Y
SSVN0GM8WMWBY1CG7IH7S731QC2BP851,333369,N,N
8887CTMN1IEDXPGZBNJSCYNWJLBWGNTE,1028492,N,N
CC0ZR2JPRYDYAQWHEI154XBULZHTJ3NB,288135,N,Y
9W8ZOF0QXIJDM3WVX6KMULMJO34IGMRX,902150,N,Y
6BIOE2KOQXCIFUGY5HBKIVB4ZHWY2W1C,988612,N,N
NJ08Y8JYM03IPLD77Y0CO5DBP4M6LZBO,565631,N,N
FS1SLHH1AXX6BFO15UHA0IE9L8SYKMWZ,750220,N,Y
10GW21KQCZP82H2VQWNZWDVA3WYACSWV,1677296,N,N
RJB8YVBQCJ8VVQD2QN7VRIX291T6NB5C,1340751,N,Y
WYYSIOWSRRAKBE63B9AYS8TULWSG94A0,931250,N,Y
7TAFJPY76SL47NYR87XZ7YUU1XYCZ2TA,1117468,N,N
XIC8K39YJZTIP8X9NSN4UMGRD5S3KUWQ,1059496,N,N
3UID912LE4A9V3HX5AV44FBGFEMUFMJO,439093,N,N
